X,Y,OBJECTID,ID,CRIME_REPORT_ID,AGE,GENDER,RACE_ETHNICITY,CLEARANCE_STATUS,IPV,WEAPON,LOCATION,X_COORD_PUBLIC,Y_COORD_PUBLIC,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,CLEARANCE_DATE,CIRCUMSTANCES,COUNCIL_DISTRICT,COMMISSION_DISTRICT,CORRIDOR,CALENDAR_YEAR,CALENDAR_MONTH,DATE_REPORTED
1467489.00015131,558470.00005056,1,1,20240602-0304-02,18,Male,Hispanic,Open,,Handgun,1000 ECHO GLEN RD,1467489,558470,35.27135,-80.784225,North Tryon,371,,Other/Unknown,4,3,,2024,06,2024/06/02 00:00:00+00
1472855.99991597,560430.000067562,2,2,20240602-0146-03,39,Male,Black,Open,,Firearm,100 TOM HUNTER RD,1472856,560430,35.276999,-80.766363,North Tryon,103,,Argument,4,3,,2024,06,2024/06/02 00:00:00+00
1434809.99989264,510329.999874055,3,3,20240527-2245-03,54,Male,Hispanic,Open,,Firearm,100 KINGSFORD DR,1434810,510330,35.137438,-80.890621,Steele Creek,79,,Other/Unknown,3,2,,2024,05,2024/05/27 00:00:00+00
1477230.00002623,531732.00004898,4,4,20240526-0503-02,23,Male,Hispanic,Cleared by Arrest by Another Agency,,Handgun,6100 WINGED ELM CT,1477230,531732,35.198371,-80.750014,Independence,135,2024/06/03 00:00:00+00,Argument,5,4,,2024,05,2024/05/26 00:00:00+00
1474966.99995905,558192.999948397,5,5,20240522-1643-01,14,Male,Black,Cleared by Arrest,,Handgun,200 ANN ELIZABETH DR,1474967,558193,35.270956,-80.759158,North Tryon,234,2024/05/23 00:00:00+00,Argument,4,3,,2024,05,2024/05/22 00:00:00+00
1475435.0000073,564956.999871805,6,6,20240522-0058-00,,Male,Black,Open,,Firearm,7500 N TRYON ST,1475435,564957,35.289561,-80.757992,University City,331,,Other/Unknown,4,3,,2024,05,2024/05/22 00:00:00+00
1453467.99997814,583389.000081226,7,7,20240521-1032-03,,Male,Other/Unknown,Exceptionally Cleared,Intimate Partner,Handgun,8600 HANKINS RD,1453468,583389,35.339105,-80.832734,North,38,2024/05/24 00:00:00+00,Domestic,2,1,,2024,05,2024/05/21 00:00:00+00
1470670.00002289,542037.000108227,8,8,20240512-0449-00,,Male,Hispanic,Open,,Handgun,2200 KILBORNE DR,1470670,542037,35.226362,-80.772586,Eastway,389,,Argument,1,4,,2024,05,2024/05/12 00:00:00+00
1497478.99988247,535947.000149146,9,9,20240505-1752-04,51,Male,Black,Open,,Handgun,9600 ALBEMARLE RD,1497479,535947,35.210913,-80.682482,Hickory Grove,323,,Argument,5,4,,2024,05,2024/05/05 00:00:00+00
1458587.99990872,567385.999935061,10,10,20240502-2244-01,26,Male,Black,Open,,Handgun,5100 HOOVER DR,1458588,567386,35.295401,-80.814588,North,150,2024/05/04 00:00:00+00,Argument,2,3,,2024,05,2024/05/02 00:00:00+00
1475576.00005339,548028.999935225,11,11,20240429-1333-99,,,,Open,,,5500 GALWAY DR,1475576,548029,35.243063,-80.756515,North Tryon,223,,,1,3,,2024,04,2024/04/29 00:00:00+00
1475576.00005339,548028.999935225,12,12,20240429-1333-00,42,Unknown,Other/Unknown,Exceptionally Cleared,,Rifle,5500 GALWAY DR,1475576,548029,35.243063,-80.756515,North Tryon,223,2024/04/29 00:00:00+00,Other/Unknown,1,3,,2024,04,2024/04/29 00:00:00+00
1475576.00005339,548028.999935225,13,13,20240429-1333-00,48,Unknown,Other/Unknown,Exceptionally Cleared,,Rifle,5500 GALWAY DR,1475576,548029,35.243063,-80.756515,North Tryon,223,2024/04/29 00:00:00+00,Other/Unknown,1,3,,2024,04,2024/04/29 00:00:00+00
1475576.00005339,548028.999935225,14,14,20240429-1333-00,31,Unknown,Other/Unknown,Exceptionally Cleared,,Rifle,5500 GALWAY DR,1475576,548029,35.243063,-80.756515,North Tryon,223,2024/04/29 00:00:00+00,Other/Unknown,1,3,,2024,04,2024/04/29 00:00:00+00
1475576.00005339,548028.999935225,15,15,20240429-1333-00,46,Unknown,Other/Unknown,Exceptionally Cleared,,Rifle,5500 GALWAY DR,1475576,548029,35.243063,-80.756515,North Tryon,223,2024/04/29 00:00:00+00,Other/Unknown,1,3,,2024,04,2024/04/29 00:00:00+00
1420550.99986738,527411.000160813,16,16,20240428-0229-01,21,Male,White,Cleared by Arrest by Another Agency,Intimate Partner,Handgun,7800 DOUGLAS DR,1420551,527411,35.183607,-80.939423,Steele Creek,174,2024/05/28 00:00:00+00,Domestic,3,2,,2024,04,2024/04/28 00:00:00+00
1435506.00014105,526075.999878064,17,17,20240419-0308-00,45,Male,Black,Cleared by Arrest by Another Agency,Intimate Partner,Handgun,4800 S TRYON ST,1435506,526076,35.180732,-80.889296,Westover,178,2024/04/19 00:00:00+00,Domestic,3,2,,2024,04,2024/04/19 00:00:00+00
1498079.9999928,538377.999880314,18,18,20240412-1841-01,17,Male,Black,Cleared by Arrest,,Handgun,7500 BOSWELL RD,1498080,538378,35.21762,-80.680608,Hickory Grove,229,2024/05/28 00:00:00+00,Drugs,5,4,,2024,04,2024/04/12 00:00:00+00
1491060.99992321,538481.000002399,19,19,20240412-1703-02,21,Male,Hispanic,Open,,Handgun,8000 HOLLY HILL RD,1491061,538481,35.217574,-80.704111,Hickory Grove,323,,Other/Unknown,5,4,,2024,04,2024/04/12 00:00:00+00
1449576.99988614,549789.00002414,20,20,20240411-0108-01,37,Male,Black,Open,,Handgun,1400 FONTANA AV,1449577,549789,35.246603,-80.843687,Metro,182,,Other/Unknown,2,2,,2024,04,2024/04/11 00:00:00+00
1453817.9999343,553012.000139818,21,21,20240407-1859-03,21,Male,Hispanic,Open,,Handgun,2600 DRUID HILLS WY,1453818,553012,35.255672,-80.829683,Metro,363,,Other/Unknown,1,3,,2024,04,2024/04/07 00:00:00+00
1427491.00009497,549246.0001259,22,22,20240403-2040-00,31,Male,Black,Open,,Physical,3000 FORESTBROOK DR,1427491,549246,35.243961,-80.917613,Freedom,199,,Argument,3,2,,2024,04,2024/04/03 00:00:00+00
1485609.99999847,570711.99984473,23,23,20240331-1627-00,25,Male,Black,Cleared by Arrest by Another Agency,,Handgun,9600 UNIVERSITY CITY BV,1485610,570712,35.305861,-80.724234,University City,299,2024/04/18 00:00:00+00,Drugs,4,3,,2024,03,2024/03/31 00:00:00+00
1438289.00015247,557286.000121981,24,24,20240329-1421-03,17,Male,Black,Cleared by Arrest,,Handgun,200 N HOSKINS RD,1438289,557286,35.266616,-80.881964,Freedom,141,2024/03/30 00:00:00+00,Robbery,2,2,,2024,03,2024/03/29 00:00:00+00
1469588.9998883,550929.000040725,25,25,20240328-2306-01,38,Male,Black,Open,,Handgun,500 BLENDWOOD DR,1469589,550929,35.250737,-80.776738,North Tryon,40,,Other/Unknown,1,3,,2024,03,2024/03/28 00:00:00+00
1486165.99987072,530709.000126481,26,26,20240328-2246-01,26,Male,Black,Cleared by Arrest by Another Agency,,Handgun,7400 BLYTHWOOD LN,1486166,530709,35.19599,-80.720047,Independence,268,2024/03/29 00:00:00+00,Argument,5,4,,2024,03,2024/03/28 00:00:00+00
1424613.99994346,553039.000085816,27,27,20240326-0520-03,36,Male,Black,Open,,Firearm,2300 TODDVILLE RD,1424614,553039,35.254228,-80.927493,Freedom,258,2024/04/06 00:00:00+00,Robbery,3,2,,2024,03,2024/03/26 00:00:00+00
1438309.00011247,555935.999869227,28,28,20240322-0203-02,44,Male,Black,Open,,Handgun,100 N CRIGLER ST,1438309,555936,35.262909,-80.881811,Freedom,385,,Other/Unknown,2,2,,2024,03,2024/03/22 00:00:00+00
1409942.00008805,548978.000005722,29,29,20240321-1837-00,53,Male,Black,Cleared by Arrest by Another Agency,,Handgun,8000 SCOTTVIEW DR,1409942,548978,35.242279,-80.97636,Freedom,286,2024/03/22 00:00:00+00,Domestic,0,2,,2024,03,2024/03/21 00:00:00+00
1433710.00012414,554304.999850392,30,30,20240317-0508-02,31,Male,Black,Open,,Handgun,300 BRADFORD DR,1433710,554305,35.258187,-80.897111,Freedom,385,,Argument,2,2,,2024,03,2024/03/17 00:00:00+00
1445614.99993613,571120.000012979,31,31,20240317-0508-01,26,Female,Black,Cleared by Arrest by Another Agency,,Handgun,4300 SUNSET RD,1445615,571120,35.305,-80.858292,North,260,2024/03/18 00:00:00+00,Argument,2,2,,2024,03,2024/03/17 00:00:00+00
1438923.99986672,555994.000081316,32,32,20240316-0339-04,58,Male,Black,Open,,Vehicle,3800 BROOKSHIRE BV,1438924,555994,35.2631,-80.879755,Freedom,141,,Other/Unknown,2,2,,2024,03,2024/03/16 00:00:00+00
1472810.00000797,561927.000026315,33,33,20240315-1439-02,0,Male,Black,Cleared by Arrest by Another Agency,,,400 ORCHARD TRACE LN,1472810,561927,35.281109,-80.766606,North Tryon,103,2024/03/16 00:00:00+00,Domestic,4,3,,2024,03,2024/03/15 00:00:00+00
1472810.00000797,561927.000026315,34,34,20240315-1439-02,22,Female,Black,Cleared by Arrest by Another Agency,,,400 ORCHARD TRACE LN,1472810,561927,35.281109,-80.766606,North Tryon,103,2024/03/16 00:00:00+00,Domestic,4,3,,2024,03,2024/03/15 00:00:00+00
1472810.00000797,561927.000026315,35,35,20240315-1439-02,4,Female,Black,Cleared by Arrest by Another Agency,,,400 ORCHARD TRACE LN,1472810,561927,35.281109,-80.766606,North Tryon,103,2024/03/16 00:00:00+00,Domestic,4,3,,2024,03,2024/03/15 00:00:00+00
1448719.99995972,570719.000158817,36,36,20240314-1354-00,20,Male,Black,Open,,Handgun,4500 TANAGER PARK DR,1448720,570719,35.304057,-80.847862,North,125,,Drugs,2,3,,2024,03,2024/03/14 00:00:00+00
1413200.00013372,513292.999853566,37,37,20240312-1202-00,23,Male,Black,Cleared by Arrest by Another Agency,,Handgun,11600 RED HICKORY LN,1413200,513293,35.144425,-80.963087,Steele Creek,313,2024/04/01 00:00:00+00,Other/Unknown,3,2,,2024,03,2024/03/12 00:00:00+00
1440833.99998371,533884.000010058,38,38,20240309-1928-01,21,Male,Black,Cleared by Arrest,,Firearm,400 FAIRWOOD AV,1440834,533884,35.202459,-80.871961,Westover,30,2024/04/02 00:00:00+00,Robbery,3,2,,2024,03,2024/03/09 00:00:00+00
1450626.00008471,543546.000042975,39,39,20240304-0601-00,46,Female,White,Cleared by Arrest,,Knife,400 N TRYON ST,1450626,543546,35.229505,-80.839786,Central,476,2024/03/04 00:00:00+00,Argument,2,4,,2024,03,2024/03/04 00:00:00+00
1468985.00011206,575114.999896973,40,40,20240301-1832-02,,Male,Black,Exceptionally Cleared,,Firearm,8100 OLD MALLARD CREEK RD,1468985,575115,35.317151,-80.780213,University City,33,2024/04/18 00:00:00+00,Drugs,2,3,,2024,03,2024/03/01 00:00:00+00
1445294.99991997,546159.00006631,41,41,20240229-0842-01,24,Male,White,Open,,Handgun,1400 W TRADE ST,1445295,546159,35.236411,-80.857799,Metro,51,,Other/Unknown,2,4,,2024,02,2024/02/29 00:00:00+00
1431301.00002089,542256.999996305,42,42,20240215-0023-00,24,Male,Black,Cleared by Arrest,,Handgun,3800 WILKINSON BV,1431301,542257,35.224963,-80.904405,Freedom,387,2024/03/07 00:00:00+00,Other/Unknown,3,2,FREEDOM DRIVE/WILKINSON,2024,02,2024/02/15 00:00:00+00
1406533.0000163,491707.000046641,43,43,20240214-2149-01,32,Female,White,Cleared by Arrest by Another Agency,,Handgun,13900 CASTLE NOOK DR,1406533,491707,35.084761,-80.983942,Steele Creek,289,2024/02/20 00:00:00+00,Other/Unknown,3,6,,2024,02,2024/02/14 00:00:00+00
1421736.00012206,550027.999874234,44,44,20240214-1434-00,21,Male,Black,Cleared by Arrest,,Rifle,2500 LITTLE ROCK RD,1421736,550028,35.245803,-80.936935,Freedom,119,2024/02/26 00:00:00+00,Other/Unknown,3,2,,2024,02,2024/02/14 00:00:00+00
1419856.99994305,511220.000062555,45,45,20240213-1218-00,39,Male,Black,Exceptionally Cleared,,Firearm,8800 CAMDEN CREEK LN,1419857,511220,35.13909,-80.940686,Steele Creek,95,2024/04/10 00:00:00+00,Other/Unknown,3,2,,2024,02,2024/02/13 00:00:00+00
1439553.99991906,526495.000024304,46,46,20240211-0112-04,26,Male,Black,Cleared by Arrest by Another Agency,,Handgun,4500 SOUTH BV,1439554,526495,35.182094,-80.875778,Westover,13,2024/02/11 00:00:00+00,Argument,1,5,,2024,02,2024/02/11 00:00:00+00
1439501.00002505,554410.999966472,47,47,20240204-2341-03,47,Male,Black,Cleared by Arrest by Another Agency,,Handgun,3500 ODUM AV,1439501,554411,35.258781,-80.877722,Metro,292,2024/02/05 00:00:00+00,Argument,2,2,BEATTIES FORD/ROZZELLES FERRY,2024,02,2024/02/04 00:00:00+00
1483201.99989322,522119.999916062,48,48,20240201-0335-01,21,Female,Hispanic,Open,Intimate Partner,Physical,8400 STRIDER DR,1483202,522120,35.172252,-80.729466,Independence,186,2024/02/20 00:00:00+00,Domestic,5,4,,2024,02,2024/02/01 00:00:00+00
1443684.99985914,552676.000155643,49,49,20240201-0112-03,17,Male,Black,Cleared by Arrest,,Firearm,1100 MAYFIELD TERRACE DR,1443685,552676,35.254231,-80.863599,Metro,85,2024/03/09 00:00:00+00,Other/Unknown,2,2,BEATTIES FORD/ROZZELLES FERRY,2024,02,2024/02/01 00:00:00+00
1436486.00014955,510848.000150397,50,50,20240127-0308-00,25,Male,Black,Exceptionally Cleared,,"Handgun, Rifle",8500 LODGE SOUTH CR,1436486,510848,35.138948,-80.885049,Steele Creek,71,2024/01/30 00:00:00+00,Argument,3,2,,2024,01,2024/01/27 00:00:00+00
1436486.00014955,510848.000150397,51,51,20240127-0308-00,26,Male,Hispanic,Exceptionally Cleared,,"Handgun, Rifle",8500 LODGE SOUTH CR,1436486,510848,35.138948,-80.885049,Steele Creek,71,2024/01/30 00:00:00+00,Argument,3,2,,2024,01,2024/01/27 00:00:00+00
1436486.00014955,510848.000150397,52,52,20240127-0308-00,32,Male,Black,Exceptionally Cleared,,"Handgun, Rifle",8500 LODGE SOUTH CR,1436486,510848,35.138948,-80.885049,Steele Creek,71,2024/01/30 00:00:00+00,Argument,3,2,,2024,01,2024/01/27 00:00:00+00
1437990.00009431,514769.999852315,53,53,20240125-2239-00,21,Female,Hispanic,Cleared by Arrest by Another Agency,,Handgun,1100 LAKEMIST DR,1437990,514770,35.149801,-80.880268,Steele Creek,71,2024/02/12 00:00:00+00,Argument,3,2,,2024,01,2024/01/25 00:00:00+00
1488412.99996988,548743.000147641,54,54,20240119-0554-00,26,Female,Hispanic,Open,,Handgun,7900 TURQUOISE DR,1488413,548743,35.245641,-80.713569,Hickory Grove,244,,Robbery,5,3,,2024,01,2024/01/19 00:00:00+00
1469091.99989806,547044.999934733,55,55,20240116-1438-00,17,Male,Black,Cleared by Arrest,,Firearm,1200 EASTWAY DR,1469092,547045,35.240042,-80.778169,North Tryon,128,2024/02/28 00:00:00+00,Other/Unknown,1,3,,2024,01,2024/01/16 00:00:00+00
1438562.99993256,565612.999872148,56,56,20240104-1916-00,54,Male,Black,Cleared by Arrest,,Physical,5200 SWEARNGAN RD,1438563,565613,35.289506,-80.881575,North,158,2024/01/05 00:00:00+00,Argument,2,2,,2024,01,2024/01/04 00:00:00+00
1465154.99989806,559256.000118971,57,57,20231227-0916-01,16,Female,Black,Open,,Handgun,4400 MERLANE DR,1465155,559256,35.273394,-80.792091,North Tryon,371,,Other/Unknown,4,3,SUGAR CREEK/I-85,2023,12,2023/12/27 00:00:00+00
